Date (days since 1/1/2021),Primary Type,Primary Type Code,Location Description,Location Description Code,Arrest,Latitude,Longitude
6.6294015410824665,BATTERY,2,APARTMENT,17,0,41.922441281,-87.692060608
8.755813356203063,BATTERY,2,STREET,112,0,41.837840762,-87.71339372
6.796178938340313,BATTERY,2,RESIDENCE,99,0,41.711021708,-87.566969484
0.08338869862892352,THEFT,29,APARTMENT,17,0,41.769547802,-87.665161188
4.211129280843684,CRIMINAL DAMAGE,5,STREET,112,0,41.909594133,-87.758107934
7.004650684912622,DECEPTIVE PRACTICE,8,HOSPITAL BUILDING / GROUNDS,76,0,41.776400433,-87.570448042
7.077615796212931,CRIMINAL TRESPASS,7,APARTMENT,17,1,41.748108857,-87.652462316
2.9693325770780223,WEAPONS VIOLATION,30,PARKING LOT / GARAGE (NON RESIDENTIAL),94,1,41.744226478,-87.643855503
4.49604066782584,BATTERY,2,APARTMENT,17,0,41.751270583,-87.605938082
3.351530779127255,BATTERY,2,STREET,112,0,41.736296927,-87.624261603
4.673241652412302,WEAPONS VIOLATION,30,STREET,112,0,41.784288355,-87.648545055
4.127740582214761,THEFT,29,PARKING LOT / GARAGE (NON RESIDENTIAL),94,0,41.76916785,-87.566530745
6.00398630136554,DECEPTIVE PRACTICE,8,COMMERCIAL / BUSINESS OFFICE,44,0,41.90079451,-87.667423851
7.838537671201857,THEFT,29,ATHLETIC CLUB,19,0,41.945601466,-87.709807144
5.675990753408498,ROBBERY,26,SMALL RETAIL STORE,110,0,41.772907566,-87.683470834
1.584385273949547,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.859796684,-87.732321942
4.728834118164918,ASSAULT,1,STREET,112,0,41.962222377,-87.655441678
1.8394157106062807,WEAPONS VIOLATION,30,STREET,112,1,41.875318591,-87.721484196
2.4495430222246286,BATTERY,2,RESIDENCE - PORCH / HALLWAY,101,0,41.902730644,-87.719389537
6.6460792808414695,DECEPTIVE PRACTICE,8,RESIDENCE,99,0,41.820491924,-87.606288827
7.1700382705100445,BURGLARY,3,TAVERN / LIQUOR STORE,113,0,41.800863342,-87.664766276
1.330744648953238,THEFT,29,SMALL RETAIL STORE,110,1,41.910214471,-87.633119064
6.796178938340313,MOTOR VEHICLE THEFT,16,STREET,112,0,41.839200352,-87.632910287
3.001993150724293,THEFT,29,STREET,112,0,41.791515401,-87.687635682
0.9589700342326205,CRIMINAL DAMAGE,5,STREET,112,0,41.837637788,-87.723149651
5.675295847619809,BATTERY,2,STREET,112,0,41.754008281,-87.604030749
0.04169434931446176,ASSAULT,1,GAS STATION,69,0,41.77999793,-87.629294594
4.336212328787069,OTHER OFFENSE,22,RESIDENCE,99,0,41.780710646,-87.708895645
3.584324229466333,WEAPONS VIOLATION,30,STREET,112,1,41.735226686,-87.645486909
5.487671275704732,THEFT,29,RESIDENCE,99,0,41.770245488,-87.67477672
3.6489504708871396,BATTERY,2,APARTMENT,17,0,41.892517133,-87.745722214
